Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
35050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	168.90		170.55	-8.70	4.91	51.40	-62.00	-21.00	-201.00	39.00	23.00	-156.00	3.70	-1.00	-1.00	16.00	-1	39.00	1.40	1	0	0	0	0	12.22	1	0	1		
36050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	169.99		169.87	-9.15	6.05	90.61	-62.00	-21.00	-201.00	39.00	23.00	-156.00	3.70	-1.00	-1.00	14.00	-1	40.00	1.50	1	0	0	0	0	12.22	1	0	1		
37050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	169.40		168.70	-8.92	6.70	51.40	-62.00	-21.00	-201.00	39.00	23.00	-156.00	3.80	-1.00	-1.00	16.00	-1	40.00	1.50	1	0	0	0	0	10.70	1	0	1		
Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
1050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	66.34		99.93	54.80	-124.82	50.74	-62.00	-21.00	-200.00	39.00	22.00	-156.00	-1.00	-1.00	-1.00	16.00	-1	39.00	0.00	1	0	0	0	0	12.22	1	0	1		
2050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	142.78		177.56	35.36	-25.11	92.28	-62.00	-21.00	-200.00	39.00	24.00	-156.00	-1.00	-1.00	-1.00	14.00	-1	40.00	1.60	1	0	0	0	0	12.22	1	0	1		
3050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	172.50		176.81	-2.34	2.09	51.39	-62.00	-21.00	-200.00	39.00	24.00	-156.00	-1.00	-1.00	-1.00	16.00	-1	39.00	1.60	1	0	0	0	0	12.22	1	0	1		
4050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	173.19		171.67	-8.04	7.44	49.33	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.30	-1.00	-1.00	14.00	-1	38.00	1.60	1	0	0	0	0	12.22	1	0	1		
5050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	172.00		171.50	-9.46	7.26	51.39	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.30	-1.00	-1.00	16.00	-1	36.00	0.90	1	0	0	0	0	7.68	1	0	1		
6050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	171.52		172.61	-8.63	5.40	49.42	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.40	-1.00	-1.00	14.00	-1	37.00	0.90	1	0	0	0	0	10.73	1	0	1		
