Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,yaw,filteredYaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position
1050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,9.24,128.18,9.54,-13.79,-33.18,51.58,-69,-20,-220,115,140,-1,-1,-1,-1,19,-1,221,0,1,0,0,0,0,41.45,1,0,1,
2050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,15.84,112.7,16.21,11.45,-11.88,98.62,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,221,0,1,0,0,0,0,41.45,1,0,1,
3050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,21.32,97.28,21.61,13.05,-10.29,51.53,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,225,0.3,1,0,0,0,0,41.45,1,0,1,
4050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,25.54,80.13,25.67,8.81,-10.51,49.06,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,221,0.3,1,0,0,0,0,13.75,1,0,1,
5050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,28.36,64.46,28.5,7.67,-10.32,51.41,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,221,0.3,1,0,0,0,0,41.73,1,0,1,
6050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,30.1,47.92,30.16,4.37,-8.62,48.73,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,218,0.3,1,0,0,0,0,41.73,1,0,1,
7050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,30.77,34.05,30.79,3.53,-7.59,51.4,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,218,0.3,1,0,0,0,0,41.73,1,0,1,
8050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,30.7,23.93,30.67,2.63,-5.16,50.67,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,219,0.3,1,0,0,0,0,41.76,1,0,1,
9070,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,30.02,14.98,29.96,0.83,-4.02,23.15,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,214,0.3,1,0,0,0,0,41.76,1,0,1,
10050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,28.96,9.93,28.89,1.23,-1.17,51.26,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,214,1.1,1,0,0,0,0,41.76,1,0,1,
11070,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,27.67,6.27,27.58,1.23,-1.41,23.3,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,210,1.1,1,0,0,0,0,41.76,1,0,1,
12050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,26.28,2.35,26.19,1.16,-0.96,51.41,-69,-20,-220,115,140,-1,1,-1,-1,19,-1,208,1.1,1,0,0,0,0,41.76,1,0,1,
13070,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,24.76,1.19,24.67,0.37,0.29,23.3,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,204,1.1,1,0,0,0,0,41.76,1,0,1,
14050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,23.33,0.55,23.25,1.47,-0.12,50.66,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,199,0.3,1,0,0,0,0,41.94,1,0,1,
15056,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,28.11,0.35,27.99,1.17,1.91,133.19,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,203,0.3,1,0,0,0,0,41.94,1,0,1,
16050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,26.44,0.91,26.35,0.68,1.15,48.79,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,199,0.3,1,0,0,0,0,41.94,1,0,1,
17050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,24.9,3.03,24.87,1.76,2.38,97.54,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,200,0.4,1,0,0,0,0,41.94,1,0,1,
18050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,23.63,4.26,23.58,-0.34,1.98,48.87,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,194,0.4,1,0,0,0,0,41.94,1,0,1,
19050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,22.52,6.09,22.48,2.45,1.99,51.11,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,193,0.4,1,0,0,0,0,42.43,1,0,1,
20050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,21.57,7.09,21.51,1.08,2.7,49.44,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,196,0.3,1,0,0,0,0,42.43,1,0,1,
21050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,20.71,9.26,20.68,-0.07,3.58,51.46,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,187,0.3,1,0,0,0,0,42.43,1,0,1,
22050,1,0,0,1,1,1,54,0,1,1,5,0.5,10,0,0,0,0,20.09,11.54,20.06,1.75,4.12,48.83,-69,-20,-220,115,140,-1,0.9,-1,-1,19,-1,182,0.3,1,0,0,0,0,42.43,1,0,1,
23050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-13.25,2,19.62,13.36,19.6,0.63,3.35,51.48,-69,-20,-220,115,140,-1,0.8,-1,-1,19,-1,182,0.3,1,0,0,0,0,42.31,1,0,1,
24069,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-15.52,2,19.29,15.78,19.28,-0.51,3.45,24.1,-69,-20,-220,115,140,-1,0.8,-1,-1,19,-1,169,0.8,1,0,0,0,0,7.71,1,0,1,
25050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-18.26,2,19.17,18.34,19.17,1.48,4.68,48.39,-69,-20,-220,115,140,-1,0.7,-1,-1,19,-1,169,0.8,1,0,0,0,0,7.71,1,0,1,
26050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-20.3,2,19.17,20.5,19.18,-0.63,3.94,23.73,-69,-20,-220,115,140,-1,0.7,-1,-1,19,-1,169,0.8,1,0,0,0,0,42.28,1,0,1,
27051,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-23.71,2,19.35,23.93,19.36,-0.46,4.86,49.37,-69,-20,-220,115,140,-1,0.7,-1,-1,19,-1,164,0.8,1,0,0,0,0,42.28,1,0,1,
28050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-26.32,2,19.7,26.37,19.71,-0.44,5.16,102.5,-69,-20,-220,115,140,-1,0.7,-1,-1,19,-1,160,0.8,1,0,0,0,0,42.28,1,0,1,
29050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-29.6,2,20.19,29.83,20.23,0.41,4.15,48.83,-69,-20,-220,115,140,-1,0.7,-1,-1,19,-1,162,0.8,1,0,0,0,0,42.28,1,0,1,
30050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-33.93,2,20.92,34.18,20.95,-2.29,5.54,51.58,-69,-20,-220,115,140,-1,0.5,-1,-1,19,-1,155,0.8,1,0,0,0,0,9.2,1,0,1,
31050,1,0,0,1,1,-130,30600,0,1,1,5,0.5,10,2,360,-38.7,2,21.84,38.93,21.9,-0.92,4.43,48.89,-69,-20,-220,115,140,-1,0.5,-1,-1,19,-1,151,0.8,1,0,0,0,0,42.49,1,0,1,
32050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-43,2,23.01,43.51,23.08,-2,4.51,48.18,-69,-20,-220,115,140,-1,0.5,-1,-1,19,-1,148,0.8,1,0,0,0,0,42.49,1,0,1,
33050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-49.4,2,24.44,49.54,24.53,-2.02,3.65,51.48,-69,-20,-220,115,140,-1,0.4,-1,-1,19,-1,146,1,1,0,0,0,0,42.49,1,0,1,
34050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-57.11,2,26.2,57.58,26.31,-3.39,3.17,48.76,-69,-20,-220,115,140,-1,0.4,-1,-1,19,-1,145,1,1,0,0,0,0,42.49,1,0,1,
35068,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-63.44,2,28.28,64,28.46,-3.85,2.35,23.99,-69,-20,-220,115,140,-1,0.3,-1,-1,19,-1,138,1,1,0,0,0,0,42.49,1,0,1,
36050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-70.71,2,30.69,71,30.79,-3.38,1.88,48.8,-69,-20,-220,115,140,-1,0.3,-1,-1,19,-1,138,0.3,1,0,0,0,0,42.73,1,0,1,
37057,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-78.53,2,33.28,79.11,33.48,-2.96,1.91,136.91,-69,-20,-220,115,140,-1,0.3,-1,-1,19,-1,137,0.3,1,0,0,0,0,42.73,1,0,1,
38050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-86.1,2,36.36,86.26,36.48,-2.25,0.73,48.79,-69,-20,-220,115,140,-1,0.2,-1,-1,19,-1,137,0.3,1,0,0,0,0,42.61,1,0,1,
39050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-94.05,2,39.58,94.8,39.79,-4.27,-0.04,105.93,-69,-20,-220,115,140,-1,0.2,-1,-1,19,-1,131,0.3,1,0,0,0,0,42.61,1,0,1,
40050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-102.94,2,43.27,103.28,43.42,-1.12,0.32,51.37,-69,-20,-220,115,140,-1,0.2,-1,-1,19,-1,134,0.3,1,0,0,0,0,42.61,1,0,1,
41050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-110.06,2,47.11,110.45,47.26,-1.95,0.08,49.12,-69,-20,-220,115,140,-1,0.2,-1,-1,19,-1,134,0.3,1,0,0,0,0,19.75,1,0,1,
42050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-118.36,2,51.13,118.7,51.38,-0.66,0.69,51.46,-69,-20,-220,115,140,-1,0.2,-1,-1,19,-1,132,0.5,1,0,0,0,0,42.89,1,0,1,
43051,1,0,0,1,1,-433,42600,0,1,1,5,0.5,10,2,360,-124.64,2,55.48,124.76,55.7,0.05,-0.57,48.74,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,128,0.5,1,0,0,0,0,42.89,1,0,1,
44050,1,0,0,1,0,1,0,0,1,1,5,0.5,10,2,360,-129.65,2,59.79,129.96,60.06,0.37,1.43,50.77,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,124,0.5,1,0,0,0,0,42.89,1,0,1,
45050,1,0,0,1,0,1,0,0,1,1,5,0.5,50,2,360,-134.23,2,64.27,134.59,64.44,1.41,0.69,48.75,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,124,0.7,1,0,0,0,0,42.89,1,0,1,
46069,1,0,0,1,0,1,0,0,1,1,5,0.5,50,2,360,-138.89,2,68.62,138.97,68.98,1.38,1.28,24.09,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,122,0.7,1,0,0,0,0,42.82,1,0,1,
47050,1,0,0,1,0,1,0,0,1,1,5,0.5,50,2,360,-141.88,2,72.99,142.06,73.25,2.07,2.09,48.8,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,120,0.7,1,0,0,0,0,42.82,1,0,1,
48057,1,0,0,1,0,1,0,0,1,1,5,0.5,50,2,360,-144.73,2,77.29,144.8,77.58,2.76,2.36,135.94,-69,-20,-220,115,140,-1,0.1,-1,-1,19,-1,122,0.8,1,0,0,0,0,42.82,1,0,1,
