Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
2050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,25.83,,68.39,6.00,-7.14,97.58,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,9.14,1,0,1,,
3050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,35.61,,93.18,11.39,-8.91,51.25,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,12.16,1,0,1,,
4050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,46.13,,96.69,11.42,-8.84,49.26,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,12.16,1,0,1,,
5050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,54.70,,97.74,11.17,-8.38,51.42,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,21.00,-1,34.00,1.30,1,0,0,0,0,12.16,1,0,1,,
6050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,61.90,,97.04,10.91,-8.78,49.33,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,10.67,1,0,1,,
7050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,67.82,,96.97,10.90,-8.98,50.74,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,-1.00,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,90.19,1,0,1,,
8050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,72.74,,93.36,11.58,-8.39,51.74,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,-1.00,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,90.19,1,0,1,,
9070,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,76.51,,95.87,10.09,-8.88,23.22,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,33.00,1.30,1,0,0,0,0,90.19,1,0,1,,
10050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,80.16,,98.36,11.85,-9.21,50.76,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,33.00,1.20,1,0,0,0,0,90.19,1,0,1,,
11057,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,83.20,,96.87,12.32,-8.94,135.72,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,33.00,1.20,1,0,0,0,0,90.19,1,0,1,,
12050,1,0,0,1,1,1,53,0,1,0,2.00,0.20,8.00,0,0.00,0.00,0.00,85.69,,97.32,11.60,-8.08,51.48,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,33.00,1.20,1,0,0,0,0,89.15,1,0,1,,
